accession	gene	function	normal	MMS
YDR520C	URC2	Putative Zn(II)2Cys6 motif containing transcription factor	NA	NA
YDR522C	SPS2	Protein expressed during sporulation, redundant with Sps22p for organization of the beta-glucan layer of the spore wall	NA	NA
YDR523C	SPS1	Putative protein serine/threonine kinase expressed at the end of meiosis and localized to the prospore membrane, required for correct localization of enzymes involved in spore wall synthesis	NA	NA
YDR524C	AGE1	ADP-ribosylation factor (ARF) GTPase activating protein (GAP) effector, involved in the secretory and endocytic pathways	NA	NA
YDR529C	QCR7	Subunit 7 of the ubiquinol cytochrome-c reductase complex, which is a component of the mitochondrial inner membrane electron transport chain	NA	NA
YDR531W	CAB1	Pantothenate kinase (ATP:D-pantothenate 4'-phosphotransferase, EC 2.7.1.33)	NA	NA
YDR532C	KRE28	Subunit of a kinetochore-microtubule binding complex with Spc105p that bridges centromeric heterochromatin and kinetochore MAPs and motors, and is also required for sister chromatid bi-orientation and kinetochore binding of SAC components	NA	NA
YDR533C	HSP31	Possible chaperone and cysteine protease with similarity to E. coli Hsp31	NA	NA
YDR539W	FDC1	Ferulic acid decarboxylase, essential for decarboxylation of phenylacrylic acids	NA	NA
YDR545W	YRF1-1	Helicase encoded by the Y' element of subtelomeric regions, highly expressed in the mutants lacking the telomerase component TLC1	NA	NA
YEL002C	WBP1	Beta subunit of the oligosaccharyl transferase (OST) glycoprotein complex	NA	NA
YEL005C	VAB2	Protein with a potential role in vacuolar function, as suggested by its ability to bind Vac8p	NA	NA
YEL011W	GLC3	Glycogen branching enzyme, involved in glycogen accumulation	NA	NA
YEL013W	VAC8	Phosphorylated and palmitoylated vacuolar membrane protein that interacts with Atg13p, required for the cytoplasm-to-vacuole targeting (Cvt) pathway	NA	NA
YEL021W	URA3	Orotidine-5'-phosphate (OMP) decarboxylase, catalyzes the sixth enzymatic step in the de novo biosynthesis of pyrimidines, converting OMP into uridine monophosphate (UMP)	NA	NA
YEL024W	RIP1	Ubiquinol-cytochrome-c reductase, a Rieske iron-sulfur protein of the mitochondrial cytochrome bc1 complex	NA	NA
YEL025C	YEL025C	Putative protein of unknown function	NA	NA
YEL026W	SNU13	RNA binding protein, part of U3 snoRNP involved in rRNA processing, part of U4/U6-U5 tri-snRNP involved in mRNA splicing, similar to human 15.5K protein	NA	NA
YEL029C	BUD16	Putative pyridoxal kinase, a key enzyme involved in pyridoxal 5'-phosphate synthesis, the active form of vitamin B6	NA	NA
YEL030W	ECM10	Heat shock protein of the Hsp70 family, localized in mitochondrial nucleoids, plays a role in protein translocation, interacts with Mge1p in an ATP-dependent manner	NA	NA
YEL031W	SPF1	P-type ATPase, ion transporter of the ER membrane involved in ER function and Ca2+ homeostasis	NA	NA
YEL034W	HYP2	Translation elongation factor eIF-5A, previously thought to function in translation initiation	NA	Up
YEL037C	RAD23	Protein with ubiquitin-like N terminus, subunit of Nuclear Excision Repair Factor 2 (NEF2) with Rad4p that recognizes and binds damaged DNA	NA	NA
YEL038W	UTR4	Protein with sequence similarity to 2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatases, involved in methionine salvage	NA	NA
YEL040W	UTR2	Chitin transglycosylase that functions in the transfer of chitin to beta(1-6) and beta(1-3) glucans in the cell wall	NA	NA
YEL042W	GDA1	Guanosine diphosphatase located in the Golgi, involved in the transport of GDP-mannose into the Golgi lumen by converting GDP to GMP after mannose is transferred its substrate	NA	NA
YEL043W	YEL043W	Predicted cytoskeleton protein involved in intracellular signalling based on quantitative analysis of protein-protein interaction maps	NA	NA
YEL046C	GLY1	Threonine aldolase, catalyzes the cleavage of L-allo-threonine and L-threonine to glycine	Up	NA
YEL047C	YEL047C	Soluble fumarate reductase, required with isoenzyme Osm1p for anaerobic growth	Down	NA
YEL050C	RML2	Mitochondrial ribosomal protein of the large subunit, has similarity to E. coli L2 ribosomal protein	NA	NA
YEL051W	VMA8	Subunit D of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system	NA	NA
YEL053C	MAK10	Non-catalytic subunit of N-terminal acetyltransferase of the NatC type, required for replication of dsRNA virus	NA	NA
YEL055C	POL5	DNA Polymerase phi	NA	NA
YEL058W	PCM1	Essential N-acetylglucosamine-phosphate mutase	NA	NA
YEL060C	PRB1	Vacuolar proteinase B (yscB), a serine protease of the subtilisin family	NA	NA
YEL061C	CIN8	Kinesin motor protein involved in mitotic spindle assembly and chromosome segregation	NA	NA
YEL066W	HPA3	D-Amino acid N-acetyltransferase, catalyzes N-acetylation of D-amino acids through ordered bi-bi mechanism in which acetyl-CoA is first substrate bound and CoA is last product liberated	NA	NA
YEL070W	DSF1	Deletion suppressor of mpt5 mutation	NA	NA
YEL071W	DLD3	D-lactate dehydrogenase, part of the retrograde regulon which consists of genes whose expression is stimulated by damage to mitochondria and reduced in cells grown with glutamate as the sole nitrogen source, located in the cytoplasm	Down	Down
YER001W	MNN1	Alpha-1,3-mannosyltransferase, integral membrane glycoprotein of the Golgi complex, required for addition of alpha1,3-mannose linkages to N-linked and O-linked oligosaccharides, one of five S. cerevisiae proteins of the MNN1 family	NA	NA
YER002W	NOP16	Constituent of 66S pre-ribosomal particles, involved in 60S ribosomal subunit biogenesis	NA	NA
YER003C	PMI40	Mannose-6-phosphate isomerase, catalyzes the interconversion of fructose-6-P and mannose-6-P	NA	NA
YER004W	FMP52	Protein of unknown function, localized to the mitochondrial outer membrane	NA	NA
YER005W	YND1	Apyrase with wide substrate specificity, involved in preventing the inhibition of glycosylation by hydrolyzing nucleoside tri- and diphosphates which are inhibitors of glycotransferases	NA	NA
YER006W	NUG1	GTPase that associates with nuclear 60S pre-ribosomes, required for export of 60S ribosomal subunits from the nucleus	NA	NA
YER007C-A	TMA20	Protein of unknown function that associates with ribosomes and has a putative RNA binding domain	NA	NA
YER008C	SEC3	Subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, Exo84p) which mediates targeting of post-Golgi vesicles to sites of active exocytosis	NA	NA
YER009W	NTF2	Nuclear envelope protein, interacts with GDP-bound Gsp1p and with proteins of the nuclear pore to transport Gsp1p into the nucleus where it is an essential player in nucleocytoplasmic transport	NA	NA
YER011W	TIR1	Cell wall mannoprotein of the Srp1p/Tip1p family of serine-alanine-rich proteins	NA	NA
YER012W	PRE1	Beta 4 subunit of the 20S proteasome	NA	NA
YER013W	PRP22	DEAH-box RNA-dependent ATPase/ATP-dependent RNA helicase, associates with lariat intermediates before the second catalytic step of splicing	NA	NA
YER014W	HEM14	Protoporphyrinogen oxidase, a mitochondrial enzyme that catalyzes the seventh step in the heme biosynthetic pathway, converting protoporphyrinogen IX to protoporphyrin IX	NA	NA
YER017C	AFG3	Component, with Yta12p, of the mitochondrial inner membrane m-AAA protease that mediates degradation of misfolded or unassembled proteins and is also required for correct assembly of mitochondrial enzyme complexes	NA	NA
YER019W	ISC1	Mitochondrial membrane localized inositol phosphosphingolipid phospholipase C, hydrolyzes complex sphingolipids to produce ceramide	NA	NA
YER021W	RPN3	Essential, non-ATPase regulatory subunit of the 26S proteasome lid, similar to the p58 subunit of the human 26S proteasome	NA	NA
YER023W	PRO3	Delta 1-pyrroline-5-carboxylate reductase, catalyzes the last step in proline biosynthesis	Down	Down
YER024W	YAT2	Carnitine acetyltransferase	NA	NA
YER025W	GCD11	Gamma subunit of the translation initiation factor eIF2, involved in the identification of the start codon	NA	NA
YER031C	YPT31	Rab family GTPase, very similar to Ypt32p	NA	NA
YER033C	ZRG8	Protein of unknown function	NA	NA
YER036C	ARB1	ATPase of the ATP-binding cassette (ABC) family involved in 40S and 60S ribosome biogenesis, has similarity to Gcn20p	NA	NA
YER038C	KRE29	Essential subunit of the Mms21-Smc5-Smc6 complex, required for growth and DNA repair	NA	NA
YER040W	GLN3	Transcriptional activator of genes regulated by nitrogen catabolite repression (NCR), localization and activity regulated by quality of nitrogen source	NA	NA
YER041W	YEN1	Holliday junction resolvase	NA	NA
YER042W	MXR1	Methionine-S-sulfoxide reductase, involved in the response to oxidative stress	NA	NA
YER043C	SAH1	S-adenosyl-L-homocysteine hydrolase, catabolizes S-adenosyl-L-homocysteine which is formed after donation of the activated methyl group of S-adenosyl-L-methionine (AdoMet) to an acceptor	Down	Down
YER044C-A	MEI4	Meiosis-specific protein involved in double-strand break formation during meiotic recombination	NA	NA
YER048C	CAJ1	Nuclear type II J heat shock protein of the E. coli dnaJ family, contains a leucine zipper-like motif, binds to non-native substrates for presentation to Ssa3p, may function during protein translocation, assembly and disassembly	NA	NA
YER049W	TPA1	Poly(rA)-binding protein involved in translation termination efficiency, mRNA poly(A) tail length and mRNA stability	NA	NA
YER051W	JHD1	JmjC domain family histone demethylase specific for H3-K36, similar to proteins found in human, mouse, drosophila, X. laevis, C. elegans, and S. pombe	NA	NA
YER052C	HOM3	Aspartate kinase (L-aspartate 4-P-transferase)	Down	NA
YER053C	PIC2	Mitochondrial phosphate carrier, imports inorganic phosphate into mitochondria	NA	NA
YER055C	HIS1	ATP phosphoribosyltransferase, a hexameric enzyme, catalyzes the first step in histidine biosynthesis	Down	Down
YER056C-A	RPL34A	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl34Bp and has similarity to rat L34 ribosomal protein	NA	NA
YER057C	HMF1	Member of the p14.5 protein family with similarity to Mmf1p, functionally complements Mmf1p function when targeted to mitochondria	NA	NA
YER061C	CEM1	Mitochondrial beta-keto-acyl synthase with possible role in fatty acid synthesis	NA	NA
YER062C	HOR2	One of two redundant DL-glycerol-3-phosphatases (RHR2/GPP1 encodes the other) involved in glycerol biosynthesis	NA	Down
YER063W	THO1	Conserved nuclear RNA-binding protein	NA	NA
YER065C	ICL1	Isocitrate lyase, catalyzes the formation of succinate and glyoxylate from isocitrate, a key reaction of the glyoxylate cycle	NA	NA
YER069W	ARG5	Protein that is processed in the mitochondrion to yield acetylglutamate kinase and N-acetyl-gamma-glutamyl-phosphate reductase, which catalyze the 2nd and 3rd steps in arginine biosynthesis	NA	NA
YER070W	RNR1	Major isoform of the large subunit of ribonucleotide-diphosphate reductase	NA	NA
YER073W	ALD5	Mitochondrial aldehyde dehydrogenase, involved in regulation or biosynthesis of electron transport chain components and acetate formation	NA	Up
YER074W	RPS24A	Protein component of the small (40S) ribosomal subunit	NA	NA
YER080W	AIM9	Putative protein of unknown function	NA	NA
YER081W	SER3	3-phosphoglycerate dehydrogenase, catalyzes the first step in serine and glycine biosynthesis	Down	Down
YER083C	GET2	Subunit of the GET complex	NA	NA
YER086W	ILV1	Threonine deaminase, catalyzes the first step in isoleucine biosynthesis	Down	NA
YER087W	AIM10	Protein with similarity to tRNA synthetases	NA	NA
YER089C	PTC2	Type 2C protein phosphatase (PP2C)	NA	NA
YER090W	TRP2	Anthranilate synthase, catalyzes the initial step of tryptophan biosynthesis, forms multifunctional hetero-oligomeric anthranilate synthase:indole-3-glycerol phosphate synthase enzyme complex with Trp3p	NA	NA
YER091C	MET6	Cobalamin-independent methionine synthase, involved in methionine biosynthesis and regeneration	Down	NA
YER093C	TSC11	Subunit of TORC2 (Tor2p-Lst8p-Avo1-Avo2-Tsc11p-Bit61p), a membrane-associated complex that regulates actin cytoskeletal dynamics during polarized growth and cell wall integrity	NA	NA
YER098W	UBP9	Ubiquitin carboxyl-terminal hydrolase, ubiquitin-specific protease that cleaves ubiquitin-protein fusions	NA	NA
YER099C	PRS2	5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis	NA	NA
YER101C	AST2	Protein that may have a role in targeting of plasma membrane [H+]ATPase (Pma1p) to the plasma membrane, as suggested by analysis of genetic interactions	NA	NA
YER103W	SSA4	Heat shock protein that is highly induced upon stress	NA	Down
YER105C	NUP157	Abundant subunit of the nuclear pore complex (NPC), present on both sides of the NPC	NA	NA
YER109C	FLO8	Transcription factor required for flocculation, diploid filamentous growth, and haploid invasive growth	NA	NA
YER110C	KAP123	Karyopherin beta, mediates nuclear import of ribosomal proteins prior to assembly into ribosomes and import of histones H3 and H4	NA	Down
YER111C	SWI4	DNA binding component of the SBF complex (Swi4p-Swi6p), a transcriptional activator that in concert with MBF (Mbp1-Swi6p) regulates late G1-specific transcription of targets including cyclins and genes required for DNA synthesis and repair	NA	NA
YER113C	TMN3	Protein with a role in cellular adhesion and filamentous growth	NA	NA
YER114C	BOI2	Protein implicated in polar growth, functionally redundant with Boi1p	NA	NA
YER120W	SCS2	Integral ER membrane protein that regulates phospholipid metabolism via an interaction with the FFAT motif of Opi1p, also involved in telomeric silencing, disruption causes inositol auxotrophy above 34 degrees C, VAP homolog	NA	NA
YER122C	GLO3	ADP-ribosylation factor GTPase activating protein (ARF GAP), involved in ER-Golgi transport	NA	NA
YER129W	SAK1	Upstream serine/threonine kinase for the SNF1 complex	NA	NA
YER130C	YER130C	Protein of unknown function	NA	Down
YER132C	PMD1	Protein with an N-terminal kelch-like domain, putative negative regulator of early meiotic gene expression	NA	NA
YER133W	GLC7	Type 1 serine/threonine protein phosphatase catalytic subunit, involved in many processes (eg: glycogen metabolism, sporulation, mitosis)	NA	NA
YER136W	GDI1	GDP dissociation inhibitor, regulates vesicle traffic in secretory pathways by regulating the dissociation of GDP from the Sec4/Ypt/rab family of GTP binding proteins	Down	NA
YER140W	YER140W	Putative protein of unknown function	NA	NA
YER144C	UBP5	Putative ubiquitin-specific protease, closest paralog of Doa4p but has no functional overlap	NA	NA
YER147C	SCC4	Subunit of cohesin loading factor (Scc2p-Scc4p), a complex required for the loading of cohesin complexes onto chromosomes	NA	NA
YER151C	UBP3	Ubiquitin-specific protease that interacts with Bre5p to co-regulate anterograde and retrograde transport between the ER and Golgi	NA	NA
YER155C	BEM2	Rho GTPase activating protein (RhoGAP) involved in the control of cytoskeleton organization and cellular morphogenesis	NA	NA
YER156C	YER156C	Putative protein of unknown function	NA	NA
YER157W	COG3	Essential component of the conserved oligomeric Golgi complex (Cog1p through Cog8p), a cytosolic tethering complex that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments	NA	NA
YER159C	BUR6	Subunit of a heterodimeric NC2 transcription regulator complex with Ncb2p	NA	Up
YER161C	SPT2	Protein involved in negative regulation of transcription	NA	NA
YER164W	CHD1	Nucleosome remodeling factor that functions in regulation of transcription elongation	NA	Down
YER165W	PAB1	Poly(A) binding protein, part of the 3'-end RNA-processing complex, mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail, involved in control of poly(A) tail length, interacts with translation factor eIF-4G	NA	NA
YER167W	BCK2	Protein rich in serine and threonine residues involved in protein kinase C signaling pathway, which controls cell integrity	NA	NA
YER169W	RPH1	JmjC domain-containing histone demethylase which can specifically demethylate H3K36 tri- and dimethyl modification states	Down	NA
YER171W	RAD3	5' to 3' DNA helicase, involved in nucleotide excision repair and transcription	NA	NA
YER172C	BRR2	RNA-dependent ATPase RNA helicase (DEIH box)	NA	NA
YER174C	GRX4	Hydroperoxide and superoxide-radical responsive glutathione-dependent oxidoreductase	NA	Up
YER176W	ECM32	DNA dependent ATPase/DNA helicase belonging to the Dna2p- and Nam7p-like family of helicases that is involved in modulating translation termination	NA	NA
YER177W	BMH1	14-3-3 protein, major isoform	NA	NA
YER178W	PDA1	E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex, catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA	Down	NA
YER180C-A	SLO1	Protein interacting with Arl3p, which is a GTPase of the Ras superfamily involved in vesicle-tethering at the Golgi	NA	NA
YFL001W	DEG1	tRNA:pseudouridine synthase, introduces pseudouridines at position 38 or 39 in tRNA, important for maintenance of translation efficiency and normal cell growth, localizes to both the nucleus and cytoplasm	NA	Down
YFL002C	SPB4	Putative ATP-dependent RNA helicase, nucleolar protein required for synthesis of 60S ribosomal subunits at a late step in the pathway	NA	NA
YFL003C	MSH4	Protein involved in meiotic recombination, required for normal levels of crossing over, colocalizes with Zip2p to discrete foci on meiotic chromosomes, has homology to bacterial MutS protein	NA	NA
YFL004W	VTC2	Subunit of the vacuolar transporter chaperone (VTC) complex involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion	NA	NA
YFL005W	SEC4	Rab family GTPase essential for vesicle-mediated exocytic secretion and autophagy	Up	NA
YFL007W	BLM10	Proteasome activator subunit	NA	NA
YFL008W	SMC1	Subunit of the multiprotein cohesin complex, essential protein involved in chromosome segregation and in double-strand DNA break repair	Up	NA
YFL012W	YFL012W	Putative protein of unknown function	NA	Up
YFL014W	HSP12	Plasma membrane localized protein that protects membranes from desiccation	Up	Up
YFL016C	MDJ1	Co-chaperone that stimulates the ATPase activity of the HSP70 protein Ssc1p	NA	NA
YFL018C	LPD1	Dihydrolipoamide dehydrogenase, the lipoamide dehydrogenase component (E3) of the pyruvate dehydrogenase and 2-oxoglutarate dehydrogenase multi-enzyme complexes	NA	NA
YFL022C	FRS2	Alpha subunit of cytoplasmic phenylalanyl-tRNA synthetase, forms a tetramer with Frs1p to form active enzyme	NA	NA
YFL023W	BUD27	Unconventional prefoldin protein involved in translation initiation	NA	NA
YFL024C	EPL1	Component of NuA4, which is an essential histone H4/H2A acetyltransferase complex	NA	NA
YFL027C	GYP8	GTPase-activating protein for yeast Rab family members	NA	NA
YFL029C	CAK1	Cyclin-dependent kinase-activating kinase required for passage through the cell cycle, phosphorylates and activates Cdc28p	NA	NA
YFL030W	AGX1	Alanine:glyoxylate aminotransferase (AGT), catalyzes the synthesis of glycine from glyoxylate, which is one of three pathways for glycine biosynthesis in yeast	NA	NA
YFL033C	RIM15	Glucose-repressible protein kinase involved in signal transduction during cell proliferation in response to nutrients, specifically the establishment of stationary phase	NA	NA
YFL034C-A	RPL22B	Protein component of the large (60S) ribosomal subunit, has similarity to Rpl22Ap and to rat L22 ribosomal protein	NA	NA
YFL036W	RPO41	Mitochondrial RNA polymerase	NA	NA
YFL037W	TUB2	Beta-tubulin	NA	NA
YFL038C	YPT1	Rab family GTPase, involved in the ER-to-Golgi step of the secretory pathway	Down	NA
YFL039C	ACT1	Actin, structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions	Down	NA
YFL040W	YFL040W	Putative transporter, member of the sugar porter family	NA	NA
YFL041W	FET5	Multicopper oxidase, integral membrane protein with similarity to Fet3p	NA	NA
YFL042C	YFL042C	Putative protein of unknown function	NA	NA
YFL045C	SEC53	Phosphomannomutase, involved in synthesis of GDP-mannose and dolichol-phosphate-mannose	Up	Up
YFL047W	RGD2	GTPase-activating protein (RhoGAP) for Cdc42p and Rho5p	NA	NA
YFL048C	EMP47	Integral membrane component of endoplasmic reticulum-derived COPII-coated vesicles, which function in ER to Golgi transport	NA	NA
YFL050C	ALR2	Probable Mg(2+) transporter	NA	NA
YFL053W	DAK2	Dihydroxyacetone kinase, required for detoxification of dihydroxyacetone (DHA)	NA	NA
YFR004W	RPN11	Metalloprotease subunit of the 19S regulatory particle of the 26S proteasome lid	NA	NA
YFR006W	YFR006W	Putative X-Pro aminopeptidase	NA	NA
YFR009W	GCN20	Positive regulator of the Gcn2p kinase activity, forms a complex with Gcn1p	NA	Down
YFR010W	UBP6	Ubiquitin-specific protease situated in the base subcomplex of the 26S proteasome, releases free ubiquitin from branched polyubiquitin chains	NA	Up
YFR011C	AIM13	Putative protein of unknown function	NA	NA
YFR014C	CMK1	Calmodulin-dependent protein kinase	NA	NA
YFR015C	GSY1	Glycogen synthase with similarity to Gsy2p, the more highly expressed yeast homolog	NA	NA
YFR019W	FAB1	1-phosphatidylinositol-3-phosphate 5-kinase	NA	NA
YFR021W	ATG18	Phosphoinositide binding protein required for vesicle formation in autophagy and the cytoplasm-to-vacuole targeting (Cvt) pathway	NA	NA
YFR024C-A	LSB3	Protein containing a C-terminal SH3 domain	NA	NA
YFR028C	CDC14	Protein phosphatase required for mitotic exit	NA	NA
YFR030W	MET10	Subunit alpha of assimilatory sulfite reductase, which converts sulfite into sulfide	NA	NA
YFR031C	SMC2	Subunit of the condensin complex	NA	NA
YFR031C-A	RPL2A	Protein component of the large (60S) ribosomal subunit, identical to Rpl2Bp and has similarity to E. coli L2 and rat L8 ribosomal proteins	NA	NA
YFR032C-A	RPL29	Protein component of the large (60S) ribosomal subunit, has similarity to rat L29 ribosomal protein	NA	NA
YFR038W	IRC5	Putative ATPase containing the DEAD/H helicase-related sequence motif	NA	NA
YFR040W	SAP155	Protein that forms a complex with the Sit4p protein phosphatase and is required for its function	NA	NA
YFR044C	DUG1	Cys-Gly metallo-di-peptidase	Down	NA
YFR045W	YFR045W	Putative mitochondrial transport protein	NA	NA
YFR047C	BNA6	Quinolinate phosphoribosyl transferase, required for the de novo biosynthesis of NAD from tryptophan via kynurenine	Down	NA
YFR048W	RMD8	Cytosolic protein required for sporulation	NA	NA
YFR049W	YMR31	Mitochondrial ribosomal protein of the small subunit, has similarity to human mitochondrial ribosomal protein MRP-S36	NA	NA
YFR051C	RET2	Delta subunit of the coatomer complex (COPI), which coats Golgi-derived transport vesicles	NA	NA
YFR052W	RPN12	Subunit of the 19S regulatory particle of the 26S proteasome lid	NA	NA
YFR053C	HXK1	Hexokinase isoenzyme 1, a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism	NA	Up
YFR055W	IRC7	Putative cystathionine beta-lyase	NA	NA
YGL001C	ERG26	C-3 sterol dehydrogenase, catalyzes the second of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis	NA	NA
YGL008C	PMA1	Plasma membrane H+-ATPase, pumps protons out of the cell	Down	Down
YGL009C	LEU1	Isopropylmalate isomerase, catalyzes the second step in the leucine biosynthesis pathway	Up	Up
YGL011C	SCL1	Alpha 1 subunit of the 20S proteasome involved in the degradation of ubiquitinated substrates	NA	NA
YGL012W	ERG4	C-24(28) sterol reductase, catalyzes the final step in ergosterol biosynthesis	NA	NA
YGL021W	ALK1	Protein kinase	NA	NA
YGL023C	PIB2	Protein binding phosphatidylinositol 3-phosphate, involved in telomere-proximal repression of gene expression	NA	NA
YGL025C	PGD1	Subunit of the RNA polymerase II mediator complex	NA	NA
YGL026C	TRP5	Tryptophan synthase, catalyzes the last step of tryptophan biosynthesis	Down	Down
YGL027C	CWH41	Processing alpha glucosidase I, ER type II integral membrane N-glycoprotein involved in assembly of cell wall beta 1,6 glucan and asparagine-linked protein glycosylation	Up	NA
YGL030W	RPL30	Protein component of the large (60S) ribosomal subunit, has similarity to rat L30 ribosomal protein	Down	NA
YGL031C	RPL24A	Ribosomal protein L30 of the large (60S) ribosomal subunit, nearly identical to Rpl24Bp and has similarity to rat L24 ribosomal protein	NA	NA
YGL037C	PNC1	Nicotinamidase that converts nicotinamide to nicotinic acid as part of the NAD(+) salvage pathway, required for life span extension by calorie restriction	NA	Up
YGL039W	YGL039W	Oxidoreductase shown to reduce carbonyl compounds to chiral alcohols	NA	NA
YGL040C	HEM2	Aminolevulinate dehydratase, a homo-octameric enzyme, catalyzes the conversion of 5-aminolevulinate to porphobilinogen, the second step in heme biosynthesis	NA	NA
YGL043W	DST1	General transcription elongation factor TFIIS, enables RNA polymerase II to read through blocks to elongation by stimulating cleavage of nascent transcripts stalled at transcription arrest sites	NA	NA
YGL048C	RPT6	One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates	NA	NA
YGL049C	TIF4632	Translation initiation factor eIF4G, subunit of the mRNA cap-binding protein complex (eIF4F) that also contains eIF4E (Cdc33p)	NA	NA
YGL050W	TYW3	tRNA methyltransferase required for synthesis of wybutosine, a modified guanosine found at the 3'-position adjacent to the anticodon of phenylalanine tRNA which supports reading frame maintenance by stabilizing codon-anticodon interactions	NA	NA
YGL054C	ERV14	Protein localized to COPII-coated vesicles, involved in vesicle formation and incorporation of specific secretory cargo	NA	NA
YGL055W	OLE1	Delta(9) fatty acid desaturase, required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria	NA	NA
YGL060W	YBP2	Central kinetochore associated protein that mediates mitotic progression	NA	NA
YGL062W	PYC1	Pyruvate carboxylase isoform, cytoplasmic enzyme that converts pyruvate to oxaloacetate	NA	NA
YGL064C	MRH4	Mitochondrial ATP-dependent RNA helicase of the DEAD-box family, plays an essential role in mitochondrial function	NA	NA
YGL066W	SGF73	SAGA complex subunit with a role in anchoring the deubiquitination module into SAGA and SLIK complexes	NA	NA
YGL068W	MNP1	Protein associated with the mitochondrial nucleoid	NA	NA
YGL073W	HSF1	Trimeric heat shock transcription factor, activates multiple genes in response to stresses that include hyperthermia	NA	NA
YGL076C	RPL7A	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl7Bp and has similarity to E. coli L30 and rat L7 ribosomal proteins	Down	NA
YGL078C	DBP3	Putative ATP-dependent RNA helicase of the DEAD-box family involved in ribosomal biogenesis	NA	NA
YGL081W	YGL081W	Putative protein of unknown function	NA	NA
YGL083W	SCY1	Putative kinase, suppressor of GTPase mutant, similar to bovine rhodopsin kinase	NA	NA
YGL091C	NBP35	Essential iron-sulfur cluster binding protein localized in the cytoplasm	NA	NA
YGL092W	NUP145	Essential nucleoporin, catalyzes its own cleavage in vivo to generate a C-terminal fragment that assembles into the Nup84p subcomplex of the nuclear pore complex, and an N-terminal fragment of unknown function that is homologous to Nup100p	NA	NA
YGL093W	SPC105	Subunit of a kinetochore-microtubule binding complex with Kre28p that bridges centromeric heterochromatin and kinetochore MAPs and motors	NA	NA
YGL094C	PAN2	Essential subunit of the Pan2p-Pan3p poly(A)-ribonuclease complex, which acts to control poly(A) tail length and regulate the stoichiometry and activity of postreplication repair complexes	NA	NA
YGL095C	VPS45	Protein of the Sec1p/Munc-18 family, essential for vacuolar protein sorting	NA	NA
YGL097W	SRM1	Nucleotide exchange factor for Gsp1p, localizes to the nucleus, required for nucleocytoplasmic trafficking of macromolecules	NA	NA
YGL099W	LSG1	Putative GTPase involved in 60S ribosomal subunit biogenesis	Up	NA
YGL103W	RPL28	Ribosomal protein of the large (60S) ribosomal subunit, has similarity to E. coli L15 and rat L27a ribosomal proteins	NA	NA
YGL105W	ARC1	Protein that binds tRNA and methionyl- and glutamyl-tRNA synthetases (Mes1p and Gus1p), delivering tRNA to them, stimulating catalysis, and ensuring their localization to the cytoplasm	NA	NA
YGL106W	MLC1	Essential light chain for Myo1p, light chain for Myo2p	Down	Down
YGL107C	RMD9	Mitochondrial protein required for respiratory growth	NA	NA
YGL110C	CUE3	Protein of unknown function	NA	NA
YGL116W	CDC20	Cell-cycle regulated activator of anaphase-promoting complex/cyclosome (APC/C), which is required for metaphase/anaphase transition	NA	NA
YGL119W	COQ8	Protein required for ubiquinone (coenzyme Q) biosynthesis and for respiratory growth	NA	NA
YGL120C	PRP43	RNA helicase in the DEAH-box family, functions in both RNA polymerase I and polymerase II transcript metabolism, involved in release of the lariat-intron from the spliceosome	Down	NA
YGL122C	NAB2	Nuclear polyadenylated RNA-binding protein required for nuclear mRNA export and poly(A) tail length control	NA	NA
YGL123W	RPS2	Protein component of the small (40S) subunit, essential for control of translational accuracy	Down	NA
YGL125W	MET13	Major isozyme of methylenetetrahydrofolate reductase, catalyzes the reduction of 5,10-methylenetetrahydrofolate to 5-methyltetrahydrofolate in the methionine biosynthesis pathway	NA	Up
YGL129C	RSM23	Mitochondrial ribosomal protein of the small subunit, has similarity to mammalian apoptosis mediator proteins	NA	NA
YGL131C	SNT2	DNA binding protein with similarity to the S. pombe Snt2 protein	NA	NA
YGL135W	RPL1B	N-terminally acetylated protein component of the large (60S) ribosomal subunit, nearly identical to Rpl1Ap and has similarity to E. coli L1 and rat L10a ribosomal proteins	Down	Down
YGL137W	SEC27	Essential beta'-coat protein of the COPI coatomer, involved in ER-to-Golgi and Golgi-to-ER transport	NA	Down
